source_sheet,field_season,kml_stop_id,longitude,latitude
2018-points,2018,AS-05-25-18-11A,104.1786972224896,32.51160833974109
2018-points,2018,AS-05-25-18-11B,104.1762444444657,32.51296944603466
2018-points,2018,AS-05-25-18-12,104.1570277850874,32.51628612154282
2018-points,2018,AS-05-25-18-13,104.1440888892313,32.5129333177277
2018-points,2018,AS-05-25-18-14,104.1368333340294,32.51385834679947
2018-points,2018,AS-05-25-18-15A,104.1353333252725,32.51475003863259
2018-points,2018,AS-05-25-18-15B,104.1346666777133,32.51578891210514
2018-points,2018,AS-05-25-18-15C,104.1326388992803,32.51390557988132
2018-points,2018,AS-05-25-18-15D,104.132519456407,32.51160557301841
2018-points,2018,AS-05-25-18-16,104.1300972338385,32.51026116740926
2018-points,2018,AS-05-25-18-17,104.132083321856,32.51513892294937
2018-points,2018,AS-05-26-18-1,104.1279166625341,32.51491666164712
2018-points,2018,AS-05-26-18-2,104.12325,32.51694444444444
2018-points,2018,AS-05-26-18-3,104.1099361111111,32.51933611111111
2018-points,2018,AS-05-26-18-4A,104.1320816916088,32.5154844530403
2018-points,2018,AS-05-26-18-4B,104.1054361633458,32.51910553564429
2018-points,2018,AS-05-26-18-5,104.0982861001959,32.51860557502994
2018-points,2018,AS-05-26-18-6A,104.0947611111111,32.51804444444444
2018-points,2018,AS-05-26-18-6B,104.0937194444445,32.51757777777777
2018-points,2018,AS-05-26-18-7,104.0897416666667,32.51666666666667
2018-points,2018,AS-05-26-18-8,104.075724998191,32.52059444514672
2018-points,2018,AS-05-26-18-9,104.0701721192286,32.52450383499245
2018-points,2018,AS-05-26-18-10,104.0721852031912,32.52264400009154
2018-points,2018,AS-05-26-18-11,104.0675000020253,32.52376112436951
2018-points,2018,AS-05-26-18-12,104.0594666670834,32.52396666768803
2018-points,2018,AS-05-26-18-13,104.0514860727823,32.52350001780015
2018-points,2018,AS-05-26-18-14,104.0443833325473,32.52050833438999
2018-points,2018,AS-05-26-18-15,104.0452694438827,32.50622502193063
2018-points,2018,AS-05-26-18-16,104.0458305555556,32.50269166666666
2018-points,2018,AS-05-26-18-17,104.0472555543742,32.49939169034967
2018-points,2018,AS-05-26-18-18,104.0475833363803,32.49883611182463
2018-points,2018,AS-05-26-18-19,104.0468027777778,32.497475
2018-points,2018,AS-05-26-18-20,104.0484722298755,32.49588611500378
2018-points,2018,AS-05-26-18-21,104.0476388888889,32.49254166666667
2018-points,2018,AS-05-26-18-22,104.0476944454524,32.49150001717361
2018-points,2018,AS-05-26-18-23,104.0414055407006,32.48665277257803
2018-points,2018,AS-05-26-18-24,104.0376027777778,32.48943611111111
2018-points,2018,AS-05-26-18-25,104.0363361111111,32.49115555555556
2018-points,2018,AS-05-26-18-26,104.0363972222222,32.49281111111111
2018-points,2018,AS-05-26-18-27,104.0292305555555,32.49568611111111
2018-points,2018,AS-05-26-18-28,104.0264722222222,32.49565277777778
2018-points,2018,AS-05-26-18-29,104.0233333333333,32.49741666666667
2018-points,2018,AS-05-26-18-30,104.0240944444445,32.50078055555556
2018-points,2018,AS-05-26-18-31,104.0163694444445,32.50426111111111
2018-points,2018,AS-05-26-18-32,104.0062722222222,32.50591666666666
2018-points,2018,AS-05-26-18-33,104.0029888712931,32.50627778065595
2018-points,2018,AS-05-26-18-34,104.9905277735918,32.51265079086891
2018-points,2018,AS-05-26-18-35,104.9893055496033,32.51258681184051
2018-points,2018,AS-05-27-18-1A,103.9460083333333,32.50756389401349
2018-points,2018,AS-05-27-18-1B,103.9475167006987,32.50714723109527
2018-points,2018,AS-05-27-18-2A,103.9498194329963,32.50631110210592
2018-points,2018,AS-05-27-18-2B,103.950086113481,32.5059750000245
2018-points,2018,AS-05-27-18-3,103.9516500010005,32.50692499926816
2018-points,2018,AS-05-27-18-4,103.9527499989533,32.50723333372881
2018-points,2018,AS-05-27-18-5A,103.9586305552319,32.50893055512701
2018-points,2018,AS-05-27-18-5B,103.960002777805,32.509063912801
2018-points,2018,AS-05-27-18-5C,103.9603222218809,32.50906668056619
2018-points,2018,AS-05-27-18-5D,103.9604749652938,32.5094555515747
2018-points,2018,AS-05-27-18-6A,103.9640805555556,32.51150833333333
2018-points,2018,AS-05-27-18-6B,103.9649472222222,32.51085555555556
2018-points,2018,AS-05-27-18-7A,103.9669055557647,32.51390833395186
2018-points,2018,AS-05-27-18-7B,103.9684166666667,32.5142
2018-points,2018,AS-05-27-18-8A,103.9733916666667,32.51663333333333
2018-points,2018,AS-05-27-18-8B,103.9733916954005,32.51663332758874
2018-points,2018,AS-05-27-18-8C,103.9782388888889,32.51772222222222
2018-points,2018,AS-05-27-18-9,103.9829,32.51966944444445
2018-points,2018,AS-05-27-18-10A,103.9903110899391,32.51290278633835
2018-points,2018,AS-05-27-18-10B,103.9915082869206,32.51265273839823
2018-points,2018,AS-05-28-18-1A,104.5898194610572,32.41262228104712
2018-points,2018,AS-05-28-18-1B,104.5908000703351,32.41309441729221
2018-points,2018,AS-05-28-18-2A,104.5909555123934,32.4151944887161
2018-points,2018,AS-05-28-18-2B,104.5889583676842,32.41563061633791
2018-points,2018,AS-05-28-18-3A,104.5884055599061,32.41583611032618
2018-points,2018,AS-05-28-18-3B,104.5899694453715,32.41690833320848
2018-points,2018,AS-05-28-18-3C,104.5899694437191,32.41788333310333
2018-points,2018,AS-05-28-18-3D,104.5912888826037,32.41920004648592
2018-points,2018,AS-05-28-18-3E,104.5935833343389,32.42043610975561
2018-points,2018,AS-05-28-18-3F,104.593241666999,32.42039167310613
2018-points,2018,AS-05-28-18-4,104.6527388877662,32.42274999921336
2018-points,2018,AS-05-28-18-5,104.6482277777778,32.42726388888889
2018-points,2018,AS-05-28-18-6,104.6586305177751,32.39825830073345
2018-points,2018,AS-05-28-18-7,104.6790583337686,32.40076389000125
2018-points,2018,AS-05-28-18-8,104.6803277777778,32.39865555555556
2018-points,2018,AS-05-28-18-9,104.6797083263212,32.4028222335774
2018-points,2018,AS-05-28-18-10,104.6790277786126,32.40403889466559
2018-points,2018,AS-05-28-18-11A,104.6574305555556,32.39787777777778
2018-points,2018,AS-05-28-18-11B,104.6581472169287,32.39845612047443
2018-points,2018,AS-05-28-18-11C,104.6582777780428,32.39901944417546
2018-points,2018,AS-05-29-18-1,104.5409388867882,32.52403890932451
2018-points,2018,AS-05-29-18-2,104.4857861114379,32.62967778744509
2018-points,2018,AS-05-30-18-1A,104.7900611111329,32.51930004500401
2018-points,2018,AS-05-30-18-1B,104.7930999996342,32.51853614149753
2018-points,2018,AS-05-30-18-2,104.8210222223517,32.4962807079537
2018-points,2018,AS-05-30-18-3,104.8220333322772,32.49296946420341
2018-points,2018,AS-05-30-18-4,104.7940305551833,32.47506945154498
2018-points,2018,AS-05-30-18-5,104.7947666675601,32.47343059602142
2018-points,2018,AS-05-30-18-6,104.7888250002364,32.44798613059954
2018-points,2018,AS-05-30-18-7,104.7842861116913,32.44731391529091
2018-points,2018,AS-05-30-18-8,104.7808222232754,32.44576673584481
2018-points,2018,AS-05-30-18-9,104.7741972203513,32.46303893672293
